FL_DATE,AIRLINE,AIRLINE_DOT,AIRLINE_CODE,DOT_CODE,FL_NUMBER,ORIGIN,ORIGIN_CITY,DEST,DEST_CITY,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,TAXI_OUT,WHEELS_OFF,WHEELS_ON,TAXI_IN,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,CANCELLED,CANCELLATION_CODE,DIVERTED,CRS_ELAPSED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,DELAY_DUE_CARRIER,DELAY_DUE_WEATHER,DELAY_DUE_NAS,DELAY_DUE_SECURITY,DELAY_DUE_LATE_AIRCRAFT,Month,Year,Cancelled,alti,drct,dwpf,feel,gust,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,inx_danjerous_1,inx_danjerous_2,inx_danjerous_3,inx_danjerous_4,metar,mslp,p01i,peak_wind_drct,peak_wind_gust,peak_wind_time,relh,sknt,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,snowdepth,station,tmpf,valid,vsby,wxcodes
2020-10-22,JetBlue Airways,JetBlue Airways: B6,B6,20409.0,629.0,JFK,"New York, NY",RSW,"Fort Myers, FL",0 days 10:00:00,953.0,-7.0,13.0,1006.0,1240.0,3.0,1256.0,1243.0,-13.0,0.0,,0.0,176.0,170.0,154.0,1074.0,,,,,,10.0,2020.0,False,30.27,50.00,65.00,66.00,M,M,M,M,6.666666666666667,0.0,0.0,0.0,KJFK 221351Z 05006KT 2SM BR OVC006 19/18 A3027 RMK AO2 SFC VIS 4 SLP249 CIG 004V008 T01890183,1024.90,0.00,M,M,M,96.24,6.00,OVC,M,M,M,600.00,M,M,M,M,JFK,66.00,2020-10-22 13:51:00,2.00,BR
2020-08-09,American Airlines Inc.,American Airlines Inc.: AA,AA,19805.0,1487.0,JFK,"New York, NY",PHX,"Phoenix, AZ",0 days 07:00:00,654.0,-6.0,15.0,709.0,851.0,25.0,923.0,916.0,-7.0,0.0,,0.0,323.0,322.0,282.0,2153.0,,,,,,8.0,2020.0,False,30.15,230.00,70.00,73.00,M,M,M,M,1.0,0.08,0.0,0.0,KJFK 091051Z 23006KT 9SM FEW010 SCT250 23/21 A3015 RMK AO2 SLP208 T02280211 $,1020.80,0.00,M,M,M,90.32,6.00,FEW,SCT,M,M,1000.00,25000.00,M,M,M,JFK,73.00,2020-08-09 10:51:00,9.00,M
2020-08-28,JetBlue Airways,JetBlue Airways: B6,B6,20409.0,1318.0,JFK,"New York, NY",BOS,"Boston, MA",0 days 20:30:00,2024.0,-6.0,12.0,2036.0,2110.0,5.0,2140.0,2115.0,-25.0,0.0,,0.0,70.0,51.0,34.0,187.0,,,,,,8.0,2020.0,False,29.79,200.00,72.00,75.00,M,M,M,M,0.4,0.2272727272727272,0.2,0.1666666666666666,KJFK 282351Z 20011KT 10SM FEW025 FEW044 SCT100 BKN180 BKN250 24/22 A2979 RMK AO2 SLP088 60003 T02390222 10306 20239 58002 $,1008.80,0.00,M,M,M,90.40,11.00,FEW,FEW,SCT,BKN,2500.00,4400.00,10000.00,18000.00,M,JFK,75.00,2020-08-28 23:51:00,10.00,M
2020-01-27,Delta Air Lines Inc.,Delta Air Lines Inc.: DL,DL,19790.0,1207.0,JFK,"New York, NY",MSP,"Minneapolis, MN",0 days 19:23:00,1918.0,-5.0,43.0,2001.0,2128.0,3.0,2155.0,2131.0,-24.0,0.0,,0.0,212.0,193.0,147.0,1029.0,,,,,,1.0,2020.0,False,29.72,300.00,27.00,38.14,M,M,M,M,0.2439024390243902,0.5454545454545454,0.0,0.0,KJFK 272351Z 30010KT 10SM FEW041 BKN055 07/M03 A2972 RMK AO2 SLP064 T00671028 10072 20061 51017 $,1006.40,0.00,M,M,M,50.73,10.00,FEW,BKN,M,M,4100.00,5500.00,M,M,M,JFK,44.00,2020-01-27 23:51:00,10.00,M
2020-09-14,JetBlue Airways,JetBlue Airways: B6,B6,20409.0,1401.0,JFK,"New York, NY",FLL,"Fort Lauderdale, FL",0 days 14:50:00,1440.0,-10.0,14.0,1454.0,1722.0,5.0,1739.0,1727.0,-12.0,0.0,,0.0,169.0,167.0,148.0,1069.0,,,,,,9.0,2020.0,False,30.1,350.00,53.60,75.20,M,M,M,M,0.4444444444444444,0.16,0.0,0.0,KJFK 141851Z 35011KT 10SM SCT045 OVC250 24/12 A3010,M,0.00,M,M,M,46.98,11.00,SCT,OVC,M,M,4500.00,25000.00,M,M,M,JFK,75.20,2020-09-14 18:51:00,10.00,M
2020-06-06,American Airlines Inc.,American Airlines Inc.: AA,AA,19805.0,1.0,JFK,"New York, NY",LAX,"Los Angeles, CA",0 days 08:00:00,751.0,-9.0,19.0,810.0,1047.0,23.0,1107.0,1110.0,3.0,0.0,,0.0,367.0,379.0,337.0,2475.0,,,,,,6.0,2020.0,False,29.81,210.00,67.00,66.90,M,M,M,M,25.0,0.0,0.0,0.0,KJFK 061151Z 21004KT 1/2SM R04R/0600V0800FT FG VV002 19/19 A2981 RMK AO2 SLP093 60000 70046 T01940194 10194 20172 58001 $,1009.30,0.00,M,M,M,100.00,4.00,VV ,M,M,M,200.00,M,M,M,M,JFK,67.00,2020-06-06 11:51:00,0.50,FG
2019-12-01,Delta Air Lines Inc.,Delta Air Lines Inc.: DL,DL,19790.0,1531.0,JFK,"New York, NY",BOS,"Boston, MA",0 days 07:00:00,659.0,-1.0,29.0,728.0,800.0,10.0,820.0,810.0,-10.0,0.0,,0.0,80.0,71.0,32.0,187.0,,,,,,12.0,2019.0,False,30.02,40.00,18.00,25.09,M,M,M,M,0.3333333333333333,0.2,0.12,0.0,KJFK 011151Z 04005KT 10SM FEW030 BKN150 BKN250 M01/M08 A3002 RMK AO2 SLP163 T10061078 10000 21017 58000 $,1016.30,0.00,M,M,M,58.36,5.00,FEW,BKN,BKN,M,3000.00,15000.00,25000.00,M,M,JFK,30.90,2019-12-01 11:51:00,10.00,M
2019-11-02,Endeavor Air Inc.,Endeavor Air Inc.: 9E,9E,20363.0,5480.0,JFK,"New York, NY",DTW,"Detroit, MI",0 days 09:22:00,918.0,-4.0,16.0,934.0,1101.0,5.0,1127.0,1106.0,-21.0,0.0,,0.0,125.0,108.0,87.0,509.0,,,,,,11.0,2019.0,False,30.27,20.00,34.00,40.77,M,M,M,M,0.4,0.0,0.0,0.0,KJFK 021251Z 02005KT 10SM FEW025 07/01 A3027 RMK AO2 SLP250 T00670011,1025.00,0.00,M,M,M,67.41,5.00,FEW,M,M,M,2500.00,M,M,M,M,JFK,44.00,2019-11-02 12:51:00,10.00,M
2020-01-06,Delta Air Lines Inc.,Delta Air Lines Inc.: DL,DL,19790.0,2756.0,JFK,"New York, NY",MIA,"Miami, FL",0 days 19:30:00,1942.0,12.0,46.0,2028.0,2306.0,4.0,2250.0,2310.0,20.0,0.0,,0.0,200.0,208.0,158.0,1089.0,8.0,0.0,8.0,0.0,4.0,1.0,2020.0,False,30.02,230.00,30.00,33.34,M,M,M,M,0.0,0.0,0.0,0.0,KJFK 062351Z 23009KT 10SM CLR 04/M01 A3002 RMK AO2 SLP164 T00441011,1016.40,0.00,M,M,M,67.45,9.00,CLR,M,M,M,M,M,M,M,M,JFK,40.00,2020-01-06 23:51:00,10.00,M
2020-02-13,Endeavor Air Inc.,Endeavor Air Inc.: 9E,9E,20363.0,5261.0,JFK,"New York, NY",RDU,"Raleigh/Durham, NC",0 days 18:09:00,1932.0,83.0,23.0,1955.0,2120.0,3.0,2013.0,2123.0,70.0,0.0,,0.0,124.0,111.0,85.0,427.0,0.0,0.0,0.0,0.0,70.0,2.0,2020.0,False,29.71,290.00,38.00,36.37,M,M,M,M,0.9090909090909092,0.25,0.3,0.1428571428571428,KJFK 132251Z 29011KT 10SM FEW011 SCT080 BKN100 BKN210 06/03 A2971 RMK AO2 SLP060 T00610033,1006.00,0.00,M,M,M,82.04,11.00,FEW,SCT,BKN,BKN,1100.00,8000.00,10000.00,21000.00,M,JFK,43.00,2020-02-13 22:51:00,10.00,M
